ID,airport_name,type,country,lat,long,elevation,service
CZ-0065,Jiřičky UL,small_airport,CZ,49.552222,15.155556,1683.0,no
CZ-0066,Kaplice UL,small_airport,CZ,48.718611,14.450556,2100.0,no
CZ-0067,Frymburk ULM,small_airport,CZ,48.698611,14.1975,2618.0,no
CZ-0068,Dobšice Heliport,heliport,CZ,50.119489,15.280608,701.0,no
CZ-0069,Druzcov u Lípy Ultralight Airfield,small_airport,CZ,50.727793,14.925241,1509.0,no
CZ-0072,Buranos Aires Ultralight Strip,small_airport,CZ,50.008926,14.037743,1247.0,no
CZ-0073,Bořitov ULM,small_airport,CZ,49.435539,16.593046,1247.0,no
CZ-0074,Miroslav Aircon ULM,small_airport,CZ,48.931667,16.339722,715.0,no
CZ-0076,Milovice Air Base,closed,CZ,50.236111,14.922222,650.0,no
CZ-0077,Chřibská Airfield,small_airport,CZ,50.858193,14.46569,1260.0,no
CZ-0082,Borovník Airfield,small_airport,CZ,49.358611,16.242222,,no
CZ-0084,Dačice Airfield,closed,CZ,49.06986,15.456004,1621.0,no
CZ-0085,Jehnědí Airfield,small_airport,CZ,49.965,16.309722,1476.0,no
CZ-0086,Kunětice Airfield,small_airport,CZ,50.068333,15.8125,728.0,no
CZ-0087,Charvátce Airfield,small_airport,CZ,50.433427,13.811113,915.0,no
CZ-0088,Letovice Airfield,small_airport,CZ,49.546667,16.598611,,no
CZ-0089,Lomnice nad Popelkou Airfield,small_airport,CZ,50.54,15.388056,,no
CZ-0090,Boršice Airfield,small_airport,CZ,49.051508,17.367605,642.0,no
CZ-0091,Horní Počáply Airstrip,small_airport,CZ,50.418117,14.384269,524.0,no
CZ-0093,Boleradice Airfield,small_airport,CZ,48.961944,16.831667,649.0,no
CZ-0095,Doudleby Airstrip,small_airport,CZ,48.885037,14.486375,1542.0,no
CZ-0096,Hory Airfield,small_airport,CZ,50.21695,12.77669,1640.0,no
CZ-0097,Dvorce,closed,CZ,48.99913,14.72214,1509.0,no
CZ-0099,Bystřice nad Pernštejnem Airfield,small_airport,CZ,49.522778,16.232222,1942.0,no
CZ-0100,Choteč Airfield,small_airport,CZ,50.433889,15.530556,1076.0,no
CZ-0101,Dětřichov Oáza ULM,small_airport,CZ,49.729167,17.118056,751.0,no
CZ-0107,Litoměřice Airstrip,closed,CZ,50.526515,14.18616,492.0,no
CZ-0108,Bezno Airstrip,small_airport,CZ,50.356925,14.8068316,,no
CZ-0109,Dušníky Ultralight Airfield,small_airport,CZ,50.412778,14.198056,728.0,no
CZ-0110,Miroslav ULM,small_airport,CZ,48.931389,16.298611,781.0,no
CZ-0112,Kralovice Airstrip,small_airport,CZ,49.985091,13.528817,,no
CZ-0113,Katovice Airstrip,small_airport,CZ,49.268355,13.800776,,no
CZ-0114,Dolní Tošanovice Airstrip,closed,CZ,49.682351,18.479829,,no
CZ-0115,Kněžmost Airstrip,small_airport,CZ,50.478623,15.005508,,no
CZ-0116,Dynín Airstrip,small_airport,CZ,49.128341,14.633441,,no
CZ-0118,Kozojedy Airstrip,small_airport,CZ,50.325005,15.388904,,no
CZ-0120,Ivančice u Brna ULM,small_airport,CZ,49.095374,16.480516,,no
CZ-0121,Kelč Airstrip,small_airport,CZ,49.457771,17.820171,,no
CZ-0122,Chotěnov Airstrip,closed,CZ,49.824177,16.194713,,no
CZ-0125,Kněžice u Jičína Airfield,small_airport,CZ,50.262998,15.297407,712.0,no
CZ-0130,Horní Libchava Ultralight Airfield,small_airport,CZ,50.703013,14.498985,899.0,no
CZ-0132,Bojkovice Airfield,small_airport,CZ,49.030233,17.817857,1115.0,no
CZ-0133,Křinec Airstrip,small_airport,CZ,50.2547,15.125108,646.0,no
CZ-0135,Litomyšl ULM,small_airport,CZ,49.874138,16.336405,1258.0,no
CZ-0138,Loučeň Airstrip,small_airport,CZ,50.278744,15.061007,636.0,no
CZ-0139,Košice Airfield,closed,CZ,49.318055,14.749167,1516.0,no
CZ-0141,Libkovice Airfield,closed,CZ,50.562216,13.683987,909.0,no
CZ-0145,Lipová Sport Airfield,small_airport,CZ,51.008731,14.343853,1253.0,no
CZ-0146,Jinošov Airstrip,small_airport,CZ,49.226931,16.176596,,no
CZ-0147,Bánov Airstrip,small_airport,CZ,48.983399,17.704586,1007.0,no
CZ-0149,Komárovice u Jihlavy ULM,closed,CZ,49.340112,15.669723,,no
CZ-0150,Milotice Airstrip,closed,CZ,48.936188,17.124166,,no
CZ-0151,Baška,closed,CZ,49.643056,18.351667,,no
CZ-0153,Místek,small_airport,CZ,49.6527778,18.3458333,1066.0,no
CZ-0154,Letiště Hať u Hlučína,small_airport,CZ,49.951812,18.265165,,no
CZ-0156,Moravský Beroun,small_airport,CZ,49.786111,17.486111,2218.0,no
CZ-0160,Milhostov u Chebu ULM,small_airport,CZ,50.164121,12.464089,1535.0,no
CZ-0161,Luhačovice Airfield,small_airport,CZ,49.088188,17.718769,,no
CZ-0162,Mladá Airfield,small_airport,CZ,50.243594,14.855856,,no
